ticket,role,code,replaces_or_replaced_by,is_mla,apply_via,mla_base_code,uuid,expected_late_fee_1,expected_late_fee_2,expected_ftf,expected_rpf,expected_max_apr,expected_annual_fee_y1,expected_annual_fee_y2,runnable_in_dev
CSRV-5300,new,0122,0120,no,strategy UUID,,f7ca3250-5403-40f1-9627-8e274349aff7,$30,$41,3%,$25,35.990,0.00,0.00,yes
CSRV-5300,old,0120,0122,no,strategy UUID,,173b1fb8-525e-488e-9353-63df8b253542,$28,$39,none,$25,35.990,0.00,0.00,yes
CSRV-5300,new,0123,0121,no,strategy UUID,,991344ab-7889-4333-ae4c-5921b1c30540,$30,$41,3%,$25,29.990,0.00,0.00,yes
CSRV-5300,old,0121,0123,no,strategy UUID,,380c7a04-b4b8-4d65-8218-7c7b133eb213,$28,$39,none,$25,29.990,0.00,0.00,yes
CSRV-5300,new,3303,3302,no,strategy UUID,,25476fa2-49a5-4647-bd43-71f234da6f43,$30,$41,3%,$25,35.990,0.00,39,yes
CSRV-5300,old,3302,3303,no,strategy UUID,,0ddeed1f-40ee-407c-b176-837b619ec4be,$28,$39,none,$25,35.990,0.00,39,yes
CSRV-5300,new,3M33,3M32,yes,apply under base code as MLA-flagged applicant,3303,,$30,$41,3%,$25,35.990,0.00,39,no - MLA not forceable
CSRV-5300,old,3M32,3M33,yes,apply under base code as MLA-flagged applicant,3302,,$28,$39,none,$25,35.990,0.00,39,no - MLA not forceable
CSRV-5301,new,3220,3219,no,strategy UUID,,91e55625-79a9-41d2-8884-b283059ad6c1,$30,$41,3%,$25,35.990,39.00,39,yes
CSRV-5301,old,3219,3220,no,strategy UUID,,4ec11345-bc42-4b77-979f-4fefc1f5b6da,$28,$39,none,$25,35.990,39.00,39,yes
CSRV-5301,new,3M90,3M89,yes,apply under base code as MLA-flagged applicant,3220,,$30,$41,3%,$25,35.990,39.00,39,no - MLA not forceable
CSRV-5301,old,3M89,3M90,yes,apply under base code as MLA-flagged applicant,3219,,$28,$39,none,$25,35.990,39.00,39,no - MLA not forceable
CSRV-5301,new,5217,5216,no,strategy UUID,,748a19ea-766c-4d11-bb1d-373103b3f921,$30,$41,3%,$25,35.990,59.00,59,yes
CSRV-5301,old,5216,5217,no,strategy UUID,,838d4285-d269-4eaf-b2d5-8c7b14cc034d,$28,$39,none,$25,35.990,59.00,59,yes
CSRV-5301,new,5M87,5M86,yes,apply under base code as MLA-flagged applicant,5217,,$30,$41,3%,$25,35.990,59.00,59,no - MLA not forceable
CSRV-5301,old,5M86,5M87,yes,apply under base code as MLA-flagged applicant,5216,,$28,$39,none,$25,35.990,59.00,59,no - MLA not forceable
CSRV-5302,new,7213,7212,no,strategy UUID,,9968af49-3abe-46fe-be8e-27de98d38881,$30,$41,3%,$25,35.990,75.00,75,yes
CSRV-5302,old,7212,7213,no,strategy UUID,,a8e9425c-efeb-4a4f-9844-a3d4bc48c1db,$28,$39,none,$25,35.990,75.00,75,yes
CSRV-5302,new,7M83,7M82,yes,apply under base code as MLA-flagged applicant,7213,,$30,$41,3%,$25,35.990,75.00,75,no - MLA not forceable
CSRV-5302,old,7M82,7M83,yes,apply under base code as MLA-flagged applicant,7212,,$28,$39,none,$25,35.990,75.00,75,no - MLA not forceable
CSRV-5302,new,7105,7104,no,strategy UUID,,61545cc1-44c6-41d0-93ee-04e151fc90ea,$30,$41,3%,$25,35.990,75.00,99,yes
CSRV-5302,old,7104,7105,no,strategy UUID,,018d3ff6-817f-4e71-b52a-cdb5bba31b34,$28,$39,none,$25,35.990,75.00,99,yes
CSRV-5302,new,7M95,7M94,yes,apply under base code as MLA-flagged applicant,7105,,$30,$41,3%,$25,35.990,75.00,99,no - MLA not forceable
CSRV-5302,old,7M94,7M95,yes,apply under base code as MLA-flagged applicant,7104,,$28,$39,none,$25,35.990,75.00,99,no - MLA not forceable
CSRV-5303,new,9004,9003,no,strategy UUID,,111a70dd-a7d1-4af1-a6fb-b9cb263d2cb3,$30,$41,3%,$25,35.990,125.00,10.42,yes
CSRV-5303,old,9003,9004,no,strategy UUID,,8f7c275c-4989-4c70-95e8-c80925bccb0d,$28,$39,none,$25,35.990,125.00,10.42,yes
CSRV-5303,new,9M04,9M03,yes,apply under base code as MLA-flagged applicant,9004,,$30,$41,3%,$25,35.990,125.00,10.42,no - MLA not forceable
CSRV-5303,old,9M03,9M04,yes,apply under base code as MLA-flagged applicant,9003,,$28,$39,none,$25,35.990,125.00,10.42,no - MLA not forceable
